"","iliad.txt","odyssey.txt"
"(alas!",1,0
"(all",1,0
"(always",1,0
"(an",6,0
"(ancaeus'",1,0
"(and",5,4
"(and,",1,0
"(antenor's",1,0
"(any",1,1
"(apart,",1,0
"(argos",1,0
"(as",16,2
"(asius",1,0
"(at",3,0
"(athens",1,0
"(atreus'",1,0
"(atrides",1,0
"(available",1,0
"(b)",1,2
"(b.c.",2,0
"(bacchus",1,0
"(bold",1,0
"(breathing",1,0
"(but",3,0
"(by",3,1
"(c)",1,2
"(cause",1,0
"(chalcis",1,0
"(cheering",1,0
"(cilician",1,0
"(co-aids",1,0
"(coerulean",1,0
"(confess'd",1,0
"(cytheraea",1,0
"(de",1,0
"(delightful",1,0
"(diomed",1,0
"(dire",1,0
"(distinction",1,0
"(divine",1,0
"(divinely",1,0
"(does",1,1
"(down",1,0
"(dyce's",2,0
"(each",2,0
"(ed.",1,0
"(ere",3,0
"(eternal",1,0
"(ethereal",1,0
"(eunaeus,",1,0
"(eurytus'",1,0
"(even",2,1
"(every",1,0
"(except",1,0
"(exclaim'd",1,0
"(fair",8,0
"(far",1,0
"(fell'd",1,0
"(fierce",1,0
"(fiercest",1,0
"(fit",1,0
"(five",1,0
"(flames,",1,0
"(for",20,4
"(forgetful",1,0
"(forth",1,0
"(from",2,1
"(full",1,0
"(genesis",1,0
"(godlike",1,0
"(good",1,0
"(great",3,0
"(greece,",1,0
"(greek",1,0
"(grote,",1,0
"(guide",1,0
"(hallam,",1,0
"(he",33,0
"(he,",1,0
"(heaven's",1,0
"(hector",1,0
"(helpless",1,0
"(her",7,0
"(herodot.",1,0
"(herself",1,0
"(his",18,0
"(horrible",1,0
"(how",1,0
"(http://www.gutenberg.org),",1,0
"(ibid.)",1,0
"(idomen",1,0
"(if",6,1
"(ii.",1,0
"(imperial",1,0
"(in",8,0
"(inquired",1,0
"(inspired",1,0
"(insulted",1,0
"(into",1,0
"(ithacus",1,0
"(jove",2,0
"(jove's",2,0
"(juno",1,0
"(laomedon's",1,0
"(late",1,0
"(libation",1,0
"(like",3,0
"(lycaon's",1,0
"(maistred",1,0
"(menoetius'",1,0
"(meriones",1,0
"(minerva",2,0
"(moira)",1,0
"(more",1,0
"(mother",1,0
"(my",3,0
"(myself",1,0
"(nestor,",1,0
"(never",1,0
"(no",1,0
"(nor",1,0
"(not",4,1
"(notes,",1,0
"(notwithstanding",1,0
"(nought",1,0
"(o'erturn'd",1,0
"(observant",1,0
"(oft",1,0
"(oh",1,0
"(oileus",1,0
"(oileus)",1,0
"(old",3,0
"(on",2,0
"(once",1,0
"(one",1,0
"(or",4,3
"(others",1,0
"(our",3,0
"(palai",1,0
"(panting",1,0
"(pelides",1,0
"(perhaps",2,0
"(phorbas",1,0
"(phradmon",1,0
"(pledge",1,0
"(price",1,0
"(prothous",1,0
"(rather",1,0
"(refection",1,0
"(replied",8,0
"(restoring",1,0
"(return'd",1,0
"(returns",1,0
"(reward",1,0
"(rich",2,0
"(rising",1,0
"(roll'd",1,0
"(sacred",1,0
"(sad",1,0
"(sage",1,0
"(said",13,0
"(satnius",1,0
"(saturnia",2,0
"(says",1,0
"(see",2,1
"(seen",1,0
"(seized",1,0
"(select",1,0
"(she",8,1
"(since",2,0
"(skill'd",1,0
"(so",8,0
"(so,",1,0
"(soft",1,0
"(some",2,0
"(soul",1,0
"(stichius",1,0
"(still",1,0
"(still,",1,0
"(strong",1,0
"(such",9,1
"(swiftest",1,0
"(tacit.",1,0
"(telamon",1,0
"(terror",1,0
"(that",9,0
"(the",101,0
"(theano's",1,0
"(their",7,0
"(these",1,0
"(they",1,0
"(this",5,0
"(tho'",1,0
"(those",2,0
"(though",4,0
"(thus",7,0
"(thy",2,0
"(till",1,0
"(to",13,1
"(together",1,0
"(too",1,0
"(towneley",1,0
"(trademark/copyright)",1,1
"(tremendous",1,0
"(tydides",1,0
"(ulysses",1,0
"(ulysses,",1,0
"(uncorrupted",1,0
"(unhappy",2,0
"(unkingly",1,0
"(unless",1,0
"(unworthy",1,0
"(v.",1,0
"(victor",1,0
"(vigorous",1,0
"(vol.",1,0
"(vulcanian",1,0
"(we,",1,0
"(weakened",1,0
"(well-known",1,0
"(what",2,0
"(when",4,0
"(where",2,0
"(which",7,7
"(which,",1,0
"(while",3,0
"(who",8,2
"(who,",1,0
"(whom",4,1
"(whose",3,1
"(with",6,2
"(won",1,0
"(wondrous",1,0
"(wrapp'd",1,0
"(xanthus,",1,0
"(ye",1,0
"(young",2,0
"(your",1,0
"(zipped),",1,0
"***end",1,0
"***finis***",1,0
"***start",1,0
"--""gier.",1,0
"--""paradise",16,0
"--_a",3,0
"--_aegae,",1,0
"--_aegiale_",1,0
"--_aenus,_",1,0
"--_aesepus'",1,0
"--_aesetes'",1,0
"--_along",1,0
"--_ambrosia._",1,0
